listing_id,number_of_reviews,review_scores_rating,reviews_per_month
8193344,26,96.0,2.13
6355733,4,90.0,0.34
9862792,34,95.0,3.98
13995573,1,80.0,1.0
7954808,18,96.0,1.67
11687031,4,95.0,0.79
7649517,20,90.0,1.58
8575476,22,92.0,1.99
8902304,19,96.0,2.17
7919500,14,93.0,1.22
7456890,7,94.0,0.52
8987722,51,93.0,4.9
9208166,42,96.0,4.23
7540480,54,94.0,4.44
14918869,0,94.0,
7921131,17,91.0,1.4
8988506,57,94.0,5.61
7634365,29,96.0,2.23
7358714,1,80.0,0.12
2326445,56,96.0,1.8
8518665,1,100.0,0.09
13494185,5,96.0,2.73
10427199,22,90.0,2.99
851927,7,100.0,0.74
12287958,1,100.0,0.23
4461901,2,100.0,0.13
5714786,12,70.0,0.7
13713143,0,94.0,
1277618,5,84.0,0.13
9731479,35,94.0,4.98
1899770,7,97.0,0.68
13707814,2,100.0,1.13
2916208,26,92.0,0.91
8082512,1,100.0,0.09
8403945,0,94.0,
8686165,14,91.0,1.33
4750791,16,93.0,0.91
8846202,11,98.0,1.74
2292495,27,93.0,1.12
13171246,4,95.0,1.43
1489289,39,93.0,1.61
14591627,4,100.0,4.0
12384469,1,100.0,0.79
8206536,0,94.0,
9933886,23,83.0,3.35
7205210,11,100.0,0.81
13318173,7,100.0,2.41
8992733,0,94.0,
5783197,35,99.0,2.08
7796658,10,94.0,0.77
11588543,42,96.0,7.16
1275498,15,89.0,0.4
8025718,3,93.0,0.25
7476340,0,94.0,
4879702,20,98.0,1.39
225224,184,91.0,3.09
7694559,0,94.0,
12253029,8,97.0,1.68
7714627,66,98.0,5.34
12890156,13,92.0,3.64
5074924,55,84.0,3.08
2372987,39,86.0,1.26
7368611,37,92.0,3.06
3601030,77,97.0,3.06
9841645,0,94.0,
14414330,1,100.0,1.0
4860853,21,80.0,1.17
5532549,4,95.0,0.85
8631257,0,94.0,
9663423,6,100.0,1.06
6763409,3,67.0,0.27
3289921,18,88.0,0.67
5976821,59,97.0,3.51
8680170,2,100.0,0.18
11841986,9,73.0,2.23
6287797,1,100.0,0.06
8827268,11,100.0,1.01
5075267,39,76.0,1.98
798957,192,97.0,4.72
11710680,5,95.0,1.04
11686744,4,100.0,0.77
8088370,14,93.0,1.14
4742275,6,97.0,0.39
7645862,1,100.0,0.16
9821291,0,94.0,
9611852,26,98.0,4.53
7294565,1,80.0,0.08
14821911,0,94.0,
8303267,2,100.0,0.75
9728602,1,100.0,0.24
5058148,6,95.0,0.33
6762011,0,94.0,
11873789,8,93.0,1.54
12496332,0,94.0,
585148,31,93.0,1.21
5582163,50,97.0,2.91
5352623,4,100.0,0.24
322593,192,94.0,4.57
6810723,0,94.0,
11902134,9,88.0,1.74
14461998,2,90.0,2.0
10227043,33,98.0,4.16
14709217,0,94.0,
