listing_id,availability_30,availability_90
8406972,0,0
5768819,4,34
5588537,0,0
10656899,0,0
6276572,30,90
625012,0,0
13912472,12,56
7342489,0,15
6850880,0,35
7325084,0,0
705919,6,43
5932402,0,0
901914,0,0
5718801,0,51
9487079,0,0
4410142,1,1
8301926,1,1
5153080,2,36
4278067,5,55
7620413,0,0
1214214,29,89
14489201,1,2
9094794,0,0
1425973,30,90
986399,0,0
4549374,1,33
639101,1,32
9207914,6,28
1365335,0,0
11927580,0,0
11585459,29,89
5769127,0,50
4294557,0,0
6851459,7,60
5932267,26,86
6075932,7,64
8782991,0,0
4588530,0,0
13697966,0,5
8970393,20,80
9864083,0,0
5718921,0,0
4178790,7,39
11687122,13,32
13697464,2,13
11796879,0,0
442735,12,62
12318093,14,42
3415245,0,0
14680277,5,61
12812461,7,42
10567830,30,90
10634364,0,0
543078,11,54
12290477,0,0
68902,29,89
627048,29,89
5280183,0,4
9918240,0,0
11275963,0,0
3182473,29,89
4887325,0,0
13864961,0,0
8048838,0,0
56927,29,89
9824,10,48
2189086,3,3
9858,29,89
9860,18,78
1174776,0,4
28150,21,81
716643,29,89
13589,5,36
10859498,30,88
9857,15,72
12603280,30,90
10882267,0,0
4948724,10,30
6214710,4,24
2701124,5,38
9373802,16,16
14217967,0,2
7749568,0,0
10037387,15,61
14040844,6,57
1322461,0,0
7728508,7,45
2277821,22,79
14855656,13,72
6908525,5,29
7856323,13,67
7474855,6,59
7475379,9,43
6879036,2,49
2881388,18,52
14745087,16,68
7474044,0,57
8188894,0,0
8410270,0,0
7698631,0,0
7159343,0,0
14858003,20,80
14723758,2,23
8663351,0,9
14041036,5,51
13729738,10,67
4603803,0,0
13614982,0,27
4143561,26,86
12304165,0,24
6323935,3,19
311240,15,70
4603588,0,0
13090471,0,0
9993826,29,89
9993602,29,89
10812807,0,0
2915643,30,90
13466910,15,68
14670143,4,16
5455004,30,90
6552654,7,43
8584276,29,89
1264217,10,27
9698823,0,0
48612,7,45
5455293,18,74
9992532,29,89
7961477,0,0
1964878,30,90
1329627,13,68
5454513,26,86
13592,19,79
47725,26,83
10811,30,90
7731797,16,59
47722,28,85
14711359,3,44
9992751,29,89
14322091,3,13
13433298,0,5
7240149,0,0
12286410,4,17
2374089,6,8
1948096,0,51
9238963,0,0
9631816,0,0
10860611,0,0
12154934,13,53
7125052,0,0
4044840,4,5
13711334,6,18
11122394,2,30
9991857,24,84
1341072,0,0
56937,29,89
9144588,4,38
1498719,10,61
1717816,5,65
11590000,8,58
6895050,19,32
10138904,9,47
11121872,4,32
6121709,24,75
4065578,3,20
9974833,5,40
14397533,0,9
9809914,11,11
4490826,30,90
1551205,25,82
3601254,7,53
9346513,22,82
4870883,0,0
8351880,13,69
12441,7,35
7860369,28,88
11905849,0,30
5581575,3,30
11201204,8,68
12626504,0,0
1372816,11,53
13218392,0,0
12268144,0,0
12205324,0,0
14603013,7,55
13872339,27,87
12020829,0,0
1776190,29,89
14822424,6,55
29155,5,44
13674964,2,33
9677207,0,0
8497555,0,0
10070404,20,74
12953937,3,25
2108738,0,0
1811776,16,64
1090413,15,67
8206659,0,0
10084216,0,6
10266928,2,49
14722711,0,0
11462476,1,33
10266397,11,60
9414403,6,31
14821064,3,3
14147343,0,0
8822499,29,85
10228457,0,8
14917151,1,1
9725178,1,32
6009031,0,0
7971930,0,0
5989418,0,0
6677469,0,17
3302294,8,41
12362389,0,0
6759004,13,73
13017460,13,73
4516065,4,5
12264926,0,0
12797493,0,48
5992501,2,5
5791960,4,31
10264774,7,40
5021859,12,72
14442491,0,8
9855805,4,38
7740436,0,4
6921241,0,0
4972820,30,86
12263690,26,78
9920084,29,89
754845,8,47
4777111,0,0
13015832,0,0
13015927,0,27
13589343,0,52
14713980,4,21
705900,11,27
8577620,0,0
12390027,3,36
9231486,11,67
10542140,2,29
11885148,2,23
10148425,15,15
10164759,17,77
6685682,12,58
11082235,9,58
4020650,14,67
4446413,30,90
7840797,24,74
3528826,7,50
11589644,5,55
14636981,0,0
1775935,29,85
7804358,8,50
7007801,11,71
14367134,0,0
7264674,0,34
13591607,7,40
8116523,0,38
13015353,24,84
9918713,29,89
2331886,7,40
12489916,0,0
693353,26,86
2429961,2,48
14423004,14,74
9343915,21,78
9327506,0,0
22212,27,79
12621291,2,7
12914154,0,14
414419,6,56
21337,29,89
5919529,0,12
5870309,24,84
6991310,0,0
14422695,17,77
5903001,26,86
472070,5,34
6017574,4,38
11211273,15,69
14085771,5,45
1234740,16,76
9180947,1,24
13391640,0,0
7853079,7,43
14422439,20,80
4132983,23,83
13848636,29,89
7475215,0,31
9252183,8,68
11980767,0,0
2723274,0,0
8737466,18,73
13864771,6,37
9992143,26,86
9228519,0,0
10293480,25,85
6213822,23,83
3673688,30,90
12865092,0,1
3591388,20,80
9473816,0,0
14552102,0,7
12291029,12,69
10881994,10,67
13912943,0,0
14388025,0,21
4377247,1,1
7474615,0,42
13110631,5,43
3870046,3,13
789843,0,0
2247190,23,83
4409819,27,83
3410087,10,38
7194793,1,22
12897110,5,44
6075481,30,90
13060113,29,89
3704801,0,0
10569282,0,13
9504314,0,0
14714374,0,23
13912470,13,62
13912467,11,64
2246959,24,84
2656568,0,0
14819717,6,54
9504177,0,0
6882615,2,40
5899031,11,54
1868513,4,5
11371205,10,66
12998272,9,55
14386825,10,70
197146,24,75
4358181,30,87
4080849,0,0
12092499,7,67
10454061,27,82
10945558,28,69
3458030,0,0
4432035,0,58
13992811,0,1
7881551,0,43
10701625,26,86
10409490,0,0
14713259,3,18
3867014,2,54
13959444,17,75
1589392,0,0
11455804,0,25
1066742,24,84
8982616,4,55
9273,29,89
8326439,21,81
13820571,0,0
13926704,5,65
4107959,6,39
5940866,0,36
6436334,25,85
1147871,5,60
14885796,20,73
1458081,10,61
4868653,11,71
2441095,18,78
7634067,12,60
12646288,12,25
8846849,0,0
1178162,7,67
13908638,20,46
1178106,23,83
13433317,4,50
6142396,2,43
13908031,0,34
14564883,0,46
13884549,2,26
12580274,20,73
12891323,0,0
11695285,0,13
11498583,19,73
14824568,29,89
11498523,9,67
8859689,6,47
6614984,1,11
9531326,0,0
11398953,5,50
9382898,2,35
2634361,21,21
1141522,10,62
7809904,0,0
13233001,0,22
11498416,12,69
10056496,17,36
11334091,5,56
11866869,0,0
13594886,0,32
11579622,1,7
7678756,0,0
1059604,28,84
8252058,1,22
12560987,6,41
12233285,12,72
12233225,14,67
6337106,4,61
9958026,25,84
5616179,18,78
14168664,1,39
9858437,7,56
8514932,6,66
8469735,6,59
12971157,0,0
182049,30,90
7482338,0,0
2634499,24,24
9897713,0,5
5990808,3,30
12233043,17,77
14083611,17,40
9698226,17,73
2778656,0,0
13874533,13,63
4614037,21,77
11593592,1,1
9711934,3,38
13969217,21,66
13100828,0,7
8064980,0,3
8134231,0,0
10233104,14,74
238846,30,90
