id,name,property_id,host_id,neighborhood_id,zipcode,accommodates,bedrooms,minimum_nights,price,availability_30,availability_90
667325,"Great location, large room, and private bath.",2,869131,2,02130,4,1.0,1,$75.00,0,24
9349614,"Sunny, Family-Friendly Apartment",2,3900945,2,02130,4,2.0,1,$150.00,0,0
10627514,Sunny JP bedroom near Orange Line T,1,16337422,2,02130,2,1.0,1,$70.00,0,0
1885825,The Roost -  Fox Room,1,6391436,2,02130,3,1.0,3,$80.00,6,34
9906565,"Sunny, Modern, Jamaica Plain Condo",2,6807512,2,02130,7,3.0,2,$225.00,1,23
629814,Diamond House -2- Victorian Jewel,2,3129367,2,02130,4,2.0,3,$225.00,14,64
1222327,"Cozy, 2 bedroom near medical area!",1,6668129,2,02130,4,2.0,7,$178.00,0,0
10299047,2BR in eclectic JP neighborhood,2,52989144,2,02130,4,2.0,1,$175.00,11,63
9463444,"Cozy, bohemian Jamaica Plain studio",2,48936696,2,02130,3,0.0,1,$109.00,0,0
6465075,Spacious 5BR Condo Near Metro,3,635157,2,02130,10,5.0,3,$383.00,14,43
8932377,Queen size bed in roomy 2 BR condo,3,26023138,2,02130,2,1.0,1,$90.00,0,0
9577988,"Spacious, well-located 2-bed apt",2,557469,2,02130,6,2.0,3,$99.00,0,0
9971054,Cozy Room In JP,2,51236938,2,02130,2,1.0,1,$50.00,7,41
7348110,Luxury loft w/ beautiful city view,2,29531596,2,02120,4,2.0,1,$300.00,29,89
7790454,Vacation Rental,1,869131,2,02130,6,4.0,30,$184.00,0,0
3021446,"Priv. bath, breakfast, parking, puppy, T in hip JP",2,113091,2,02130,2,1.0,2,$80.00,5,35
7708436,"Your own bedroom, sitting room and bathroom near T",1,236790,2,02130,2,1.0,1,$85.00,11,41
11514237,the apartment in the sky,2,15172911,2,02130,2,1.0,2,$150.00,14,64
13363171,"Colorful artist home, prime location!",2,5215706,2,02130,2,1.0,1,$100.00,0,0
11946029,Quiet and comfy in Jamaica Plain,2,27112758,2,02130,2,1.0,1,$100.00,0,34
6019555,Clean Comfortable Room in Modern Home Near Transit,6,2810446,2,02130,2,1.0,3,$84.00,5,20
12052288,The City Cabin - 2 blocks to Subway,2,31655122,2,02130,4,1.0,1,$130.00,0,30
